Xn,F(Xn),F'(Xn),Xn+1,Error
(-7.2655147768119415+0j),(-152.5824862898567+0j),(3807.811157021922+0j),(-7.225443859427164+0j),(0.04007091738477708+0j)
(-7.225443859427164+0j),(-148.71454167261902+0j),(3763.341749221093+0j),(-7.18592724053296+0j),(0.039516618894204214+0j)
(-7.18592724053296+0j),(-144.95569643342196+0j),(3719.7422314108157+0j),(-7.146957955185883+0j),(0.03896928534707733+0j)
(-7.146957955185883+0j),(-141.30261674456912+0j),(3676.99433993688+0j),(-7.108529118021289+0j),(0.03842883716459422+0j)
(-7.108529118021289+0j),(-137.75207638442242+0j),(3635.0802204089155+0j),(-7.0706339223084065+0j),(0.037895195712882135+0j)
(-7.0706339223084065+0j),(-134.30095313311392+0j),(3593.9824180994297+0j),(-7.0332656390199935+0j),(0.03736828328841302+0j)
(-7.0332656390199935+0j),(-130.94622529217662+0j),(3553.6838685732846+0j),(-6.996417615916366+0j),(0.03684802310362745+0j)
(-6.996417615916366+0j),(-127.68496832375305+0j),(3514.1678885420447+0j),(-6.960083276643598+0j),(0.03633433927276819+0j)
(-6.960083276643598+0j),(-124.51435160519256+0j),(3475.4181669377344+0j),(-6.924256119845685+0j),(0.03582715679791271+0j)
(-6.924256119845685+0j),(-121.4316352949997+0j),(3437.41875620073+0j),(-6.888929718290463+0j),(0.035326401555222375+0j)
(-6.888929718290463+0j),(-118.43416730623629+0j),(3400.154063776597+0j),(-6.854097718009073+0j),(0.034832000281389774+0j)
(-6.854097718009073+0j),(-115.51938038362094+0j),(3363.608843816811+0j),(-6.81975383744877+0j),(0.034343880560302686+0j)
(-6.81975383744877+0j),(-112.6847892807006+0j),(3327.7681890784543+0j),(-6.785891866638867+0j),(0.0338619708099035+0j)
(-6.785891866638867+0j),(-109.92798803359962+0j),(3292.61752301807+0j),(-6.7525056663695935+0j),(0.0333862002692733+0j)
(-6.7525056663695935+0j),(-107.24664732797274+0j),(3258.142592074977+0j),(-6.719589167383687+0j),(0.032916498985906095+0j)
(-6.719589167383687+0j),(-104.63851195591145+0j),(3224.32945813948+0j),(-6.687136369580484+0j),(0.032452797803203204+0j)
