Xn,F(Xn),F'(Xn),Xn+1,Error
(-4.77252657132209+0j),(-5.278265628945326+0j),(1536.4960992273923+0j),(-4.7690913099949706+0j),(0.0034352613271195764+0j)
(-4.7690913099949706+0j),(-5.185117194558073+0j),(1534.060941928955+0j),(-4.765711315724314+0j),(0.0033799942706567165+0j)
(-4.765711315724314+0j),(-5.093704782437635+0j),(1531.6668277242884+0j),(-4.762385719915723+0j),(0.003325595808591153+0j)
(-4.762385719915723+0j),(-5.003993212388078+0j),(1529.3130512912267+0j),(-4.759113667010555+0j),(0.0032720529051672997+0j)
(-4.759113667010555+0j),(-4.915948099310983+0j),(1526.9989198489834+0j),(-4.755894314308068+0j),(0.003219352702487299+0j)
(-4.755894314308068+0j),(-4.829535833029295+0j),(1524.7237529225763+0j),(-4.752726831789499+0j),(0.0031674825185694644+0j)
(-4.752726831789499+0j),(-4.74472355867689+0j),(1522.4868821120317+0j),(-4.749610401944077+0j),(0.0031164298454218198+0j)
(-4.749610401944077+0j),(-4.661479157636526+0j),(1520.2876508662644+0j),(-4.746544219596953+0j),(0.003066182347123636+0j)
(-4.746544219596953+0j),(-4.579771229009801+0j),(1518.1254142615242+0j),(-4.743527491739039+0j),(0.00301672785791407+0j)
(-4.743527491739039+0j),(-4.499569071603146+0j),(1515.9995387843105+0j),(-4.740559437358751+0j),(0.00296805438028791+0j)
(-4.740559437358751+0j),(-4.420842666414442+0j),(1513.9094021186606+0j),(-4.737639287275643+0j),(0.0029201500831081972+0j)
(-4.737639287275643+0j),(-4.343562659605103+0j),(1511.8543929377095+0j),(-4.734766283975924+0j),(0.002873003299718846+0j)
(-4.734766283975924+0j),(-4.267700345943348+0j),(1509.8339106994306+0j),(-4.731939681449845+0j),(0.002826602526079469+0j)
(-4.731939681449845+0j),(-4.193227652704273+0j),(1507.8473654464622+0j),(-4.72915874503095+0j),(0.002780936418894875+0j)
(-4.72915874503095+0j),(-4.120117124013571+0j),(1505.8941776099384+0j),(-4.726422751237181+0j),(0.002735993793768543+0j)
(-4.726422751237181+0j),(-4.048341905621269+0j),(1503.9737778172284+0j),(-4.723730987613817+0j),(0.0026917636233640962+0j)
(-4.723730987613817+0j),(-3.9778757300928715+0j),(1502.0856067034993+0j),(-4.72108275257825+0j),(0.0026482350355667705+0j)
(-4.72108275257825+0j),(-3.908692902405724+0j),(1500.2291147270303+0j),(-4.718477355266576+0j),(0.0026053973116741957+0j)
(-4.718477355266576+0j),(-3.840768285938217+0j),(1498.4037619881797+0j),(-4.715914115381993+0j),(0.0025632398845836235+0j)
(-4.715914115381993+0j),(-3.7740772888405374+0j),(1496.6090180519413+0j),(-4.713392363044997+0j),(0.0025217523369951422+0j)
(-4.713392363044997+0j),(-3.708595850775636+0j),(1494.8443617740036+0j),(-4.7109114386453665+0j),(0.0024809243996308794+0j)
(-4.7109114386453665+0j),(-3.6443004300193627+0j),(1493.109281130237+0j),(-4.708470692695907+0j),(0.002440745949459533+0j)
(-4.708470692695907+0j),(-3.581167990909411+0j),(1491.40327304954+0j),(-4.706069485687968+0j),(0.002401207007938666+0j)
(-4.706069485687968+0j),(-3.519175991632662+0j),(1489.725843249967+0j),(-4.703707187948704+0j),(0.0023622977392641076+0j)
(-4.703707187948704+0j),(-3.45830237234114+0j),(1488.0765060780677+0j),(-4.701383179500069+0j),(0.0023240084486353396+0j)
(-4.701383179500069+0j),(-3.398525543586895+0j),(1486.454784351376+0j),(-4.6990968499195365+0j),(0.0022863295805324313+0j)
(-4.6990968499195365+0j),(-3.3398243750665055+0j),(1484.8602092039703+0j),(-4.69684759820253+0j),(0.0022492517170062953+0j)
(-4.69684759820253+0j),(-3.28217818466616+0j),(1483.292319935049+0j),(-4.6946348326265515+0j),(0.0022127655759787146+0j)
(-4.6946348326265515+0j),(-3.2255667277986655+0j),(1481.7506638604534+0j),(-4.692457970616991+0j),(0.002176862009560132+0j)
(-4.692457970616991+0j),(-3.1699701870237527+0j),(1480.2347961670741+0j),(-4.690316438614614+0j),(0.002141532002377211+0j)
(-4.690316438614614+0j),(-3.1153691619435677+0j),(1478.7442797700812+0j),(-4.688209671944701+0j),(0.0021067666699128296+0j)
(-4.688209671944701+0j),(-3.0617446593654165+0j),(1477.2786851729225+0j),(-4.6861371146878374+0j),(0.0020725572568638384+0j)
(-4.6861371146878374+0j),(-3.0090780837238817+0j),(1475.8375903300212+0j),(-4.68409821955233+0j),(0.002038895135507701+0j)
(-4.68409821955233+0j),(-2.9573512277550082+0j),(1474.4205805121287+0j),(-4.682092447748244+0j),(0.0020057718040860095+0j)
(-4.682092447748244+0j),(-2.9065462634151613+0j),(1473.0272481742647+0j),(-4.680119268863049+0j),(0.0019731788851951038+0j)
(-4.680119268863049+0j),(-2.856645733037738+0j),(1471.6571928262038+0j),(-4.678178160738845+0j),(0.001941108124203339+0j)
(-4.678178160738845+0j),(-2.8076325407205545+0j),(1470.3100209054387+0j),(-4.676268609351179+0j),(0.0019095513876665748+0j)
(-4.676268609351179+0j),(-2.7594899439377087+0j),(1468.9853456525843+0j),(-4.674390108689409+0j),(0.0018785006617694222+0j)
(-4.674390108689409+0j),(-2.71220154536921+0j),(1467.6827869891622+0j),(-4.672542160638637+0j),(0.0018479480507727075+0j)
(-4.672542160638637+0j),(-2.6657512849423637+0j),(1466.401971397719+0j),(-4.670724274863155+0j),(0.0018178857754813649+0j)
(-4.670724274863155+0j),(-2.620123432078704+0j),(1465.1425318042297+0j),(-4.668935968691432+0j),(0.0017883061717229864+0j)
(-4.668935968691432+0j),(-2.57530257814075+0j),(1463.904107462737+0j),(-4.667176767002597+0j),(0.0017592016888352546+0j)
(-4.667176767002597+0j),(-2.5312736290730324+0j),(1462.6863438421876+0j),(-4.665446202114418+0j),(0.0017305648881791313+0j)
(-4.665446202114418+0j),(-2.4880217982316086+0j),(1461.4888925154087+0j),(-4.663743813672759+0j),(0.0017023884416591528+0j)
(-4.663743813672759+0j),(-2.4455325993969224+0j),(1460.3114110501886+0j),(-4.662069148542505+0j),(0.0016746651302534943+0j)
(-4.662069148542505+0j),(-2.403791839964967+0j),(1459.1535629024186+0j),(-4.660421760699937+0j),(0.0016473878425680155+0j)
(-4.660421760699937+0j),(-2.3627856143114596+0j),(1458.0150173112497+0j),(-4.658801211126539+0j),(0.0016205495733983+0j)
(-4.658801211126539+0j),(-2.3225002973243805+0j),(1456.895449196224+0j),(-4.657207067704232+0j),(0.001594143422306793+0j)
(-4.657207067704232+0j),(-2.282922538100084+0j),(1455.7945390563434+0j),(-4.655638905112016+0j),(0.001568162592215927+0j)
(-4.655638905112016+0j),(-2.2440392537984204+0j),(1454.7119728710327+0j),(-4.6540963047240025+0j),(0.0015426003880136818+0j)
(-4.6540963047240025+0j),(-2.205837623652446+0j),(1453.6474420029585+0j),(-4.65257885450883+0j),(0.0015174502151724667+0j)
(-4.65257885450883+0j),(-2.16830508312846+0j),(1452.6006431026733+0j),(-4.6510861489304425+0j),(0.0014927055783875431+0j)
(-4.6510861489304425+0j),(-2.1314293182320574+0j),(1451.5712780150336+0j),(-4.649617788850222+0j),(0.0014683600802207764+0j)
(-4.649617788850222+0j),(-2.0951982599563714+0j),(1450.5590536873722+0j),(-4.648173381430454+0j),(0.0014444074197674794+0j)
(-4.648173381430454+0j),(-2.0596000788683684+0j),(1449.5636820793793+0j),(-4.646752540039123+0j),(0.0014208413913312512+0j)
(-4.646752540039123+0j),(-2.024623179829531+0j),(1448.5848800746596+0j),(-4.645354884156006+0j),(0.0013976558831165775+0j)
(-4.645354884156006+0j),(-1.990256196847134+0j),(1447.6223693939328+0j),(-4.643980039280073+0j),(0.001374844875932979+0j)
(-4.643980039280073+0j),(-1.9564879880526145+0j),(1446.675876509847+0j),(-4.642627636838157+0j),(0.001352402441916034+0j)
(-4.642627636838157+0j),(-1.923307630803464+0j),(1445.7451325633679+0j),(-4.641297314094899+0j),(0.0013303227432581721+0j)
(-4.641297314094899+0j),(-1.8907044169053797+0j),(1444.8298732817132+0j),(-4.639988714063941+0j),(0.001308600030958118+0j)
(-4.639988714063941+0j),(-1.8586678479512946+0j),(1443.9298388978082+0j),(-4.638701485420359+0j),(0.0012872286435818836+0j)
(-4.638701485420359+0j),(-1.8271876307741348+0j),(1443.0447740712218+0j),(-4.637435282414323+0j),(0.0012662030060361928+0j)
(-4.637435282414323+0j),(-1.7962536730102885+0j),(1442.1744278105616+0j),(-4.636189764785962+0j),(0.0012455176283614477+0j)
(-4.636189764785962+0j),(-1.7658560787706232+0j),(1441.3185533972933+0j),(-4.6349645976814315+0j),(0.0012251671045300228+0j)
(-4.6349645976814315+0j),(-1.7359851444163725+0j),(1440.4769083109643+0j),(-4.633759451570167+0j),(0.0012051461112640993+0j)
(-4.633759451570167+0j),(-1.7066313544368934+0j),(1439.6492541557936+0j),(-4.6325740021633+0j),(0.0011854494068677113+0j)
(-4.6325740021633+0j),(-1.6777853774265987+0j),(1438.8353565886116+0j),(-4.631407930333229+0j),(0.0011660718300703365+0j)
(-4.631407930333229+0j),(-1.649438062158377+0j),(1438.034985248109+0j),(-4.63026092203435+0j),(0.0011470082988793706+0j)
(-4.63026092203435+0j),(-1.6215804337511093+0j),(1437.2479136853913+0j),(-4.629132668224892+0j),(0.0011282538094583572+0j)
(-4.629132668224892+0j),(-1.594203689928412+0j),(1436.4739192957861+0j),(-4.628022864789887+0j),(0.0011098034350043307+0j)
(-4.628022864789887+0j),(-1.5672991973665624+0j),(1435.712783251905+0j),(-4.626931212465237+0j),(0.0010916523246500276+0j)
(-4.626931212465237+0j),(-1.5408584881289327+0j),(1434.9642904379125+0j),(-4.625857416762866+0j),(0.0010737957023714273+0j)
(-4.625857416762866+0j),(-1.5148732561848544+0j),(1434.2282293849978+0j),(-4.624801187896952+0j),(0.001056228865913944+0j)
(-4.624801187896952+0j),(-1.4893353540105183+0j),(1433.5043922080126+0j),(-4.623762240711226+0j),(0.0010389471857257249+0j)
(-4.623762240711226+0j),(-1.4642367892699264+0j),(1432.7925745432603+0j),(-4.622740294607313+0j),(0.0010219461039131517+0j)
(-4.622740294607313+0j),(-1.4395697215735432+0j),(1432.0925754874067+0j),(-4.621735073474117+0j),(0.0010052211331963434+0j)
(-4.621735073474117+0j),(-1.4153264593129218+0j),(1431.4041975375012+0j),(-4.620746305618225+0j),(0.0009887678558913038+0j)
(-4.620746305618225+0j),(-1.3914994565690018+0j),(1430.7272465320762+0j),(-4.619773723695332+0j),(0.0009725819228938448+0j)
(-4.619773723695332+0j),(-1.3680813100923959+0j),(1430.061531593311+0j),(-4.6188170646426485+0j),(0.000956659052683051+0j)
(-4.6188170646426485+0j),(-1.3450647563536298+0j),(1429.4068650702352+0j),(-4.617876069612317+0j),(0.0009409950303318482+0j)
(-4.617876069612317+0j),(-1.3224426686616773+0j),(1428.7630624829576+0j),(-4.6169504839057804+0j),(0.000925585706536225+0j)
(-4.6169504839057804+0j),(-1.300208054348824+0j),(1428.1299424678934+0j),(-4.616040056909129+0j),(0.0009104269966515588+0j)
(-4.616040056909129+0j),(-1.2783540520203132+0j),(1427.5073267239761+0j),(-4.615144542029388+0j),(0.0008955148797404888+0j)
(-4.615144542029388+0j),(-1.2568739288671087+0j),(1426.895039959835+0j),(-4.614263696631746+0j),(0.0008808453976421049+0j)
(-4.614263696631746+0j),(-1.2357610780399217+0j),(1426.2929098419154+0j),(-4.613397281977707+0j),(0.0008664146540393602+0j)
(-4.613397281977707+0j),(-1.2150090160832767+0j),(1425.7007669435297+0j),(-4.612545063164156+0j),(0.0008522188135513531+0j)
(-4.612545063164156+0j),(-1.1946113804277734+0j),(1425.118444694816+0j),(-4.61170680906333+0j),(0.0008382541008256084+0j)
(-4.61170680906333+0j),(-1.1745619269393224+0j),(1424.5457793335945+0j),(-4.610882292263674+0j),(0.0008245167996561165+0j)
(-4.610882292263674+0j),(-1.1548545275236142+0j),(1423.9826098570927+0j),(-4.610071289011577+0j),(0.0008110032520969312+0j)
(-4.610071289011577+0j),(-1.1354831677847481+0j),(1423.428777974537+0j),(-4.6092735791539745+0j),(0.0007977098576024133+0j)
(-4.6092735791539745+0j),(-1.1164419447363412+0j),(1422.8841280605839+0j),(-4.608488946081809+0j),(0.0007846330721656969+0j)
(-4.608488946081809+0j),(-1.0977250645640926+0j),(1422.3485071095802+0j),(-4.607717176674328+0j),(0.0007717694074811376+0j)
(-4.607717176674328+0j),(-1.0793268404381786+0j),(1421.8217646906337+0j),(-4.606958061244221+0j),(0.0007591154301067604+0j)
(-4.606958061244221+0j),(-1.0612416903745439+0j),(1421.3037529034818+0j),(-4.606211393483577+0j),(0.0007466677606435823+0j)
(-4.606211393483577+0j),(-1.0434641351437004+0j),(1420.7943263351426+0j),(-4.605476970410651+0j),(0.0007344230729264822+0j)
(-4.605476970410651+0j),(-1.0259887962258312+0j),(1420.2933420173306+0j),(-4.604754592317426+0j),(0.0007223780932248403+0j)
(-4.604754592317426+0j),(-1.008810393811094+0j),(1419.8006593846271+0j),(-4.604044062717977+0j),(0.0007105295994493943+0j)
(-4.604044062717977+0j),(-0.9919237448440963+0j),(1419.3161402333903+0j),(-4.603345188297594+0j),(0.0006988744203821895+0j)
(-4.603345188297594+0j),(-0.9753237611111589+0j),(1418.8396486813858+0j),(-4.602657778862696+0j),(0.0006874094348985338+0j)
(-4.602657778862696+0j),(-0.9590054473697589+0j),(1418.3710511281356+0j),(-4.601981647291478+0j),(0.0006761315712182636+0j)
(-4.601981647291478+0j),(-0.9429638995186531+0j),(1417.9102162159597+0j),(-4.6013166094853215+0j),(0.0006650378061561213+0j)
(-4.6013166094853215+0j),(-0.9271943028079648+0j),(1417.4570147917045+0j),(-4.600662484320938+0j),(0.0006541251643836787+0j)
(-4.600662484320938+0j),(-0.9116919300882227+0j),(1417.0113198691465+0j),(-4.6000190936032315+0j),(0.0006433907177063602+0j)
(-4.6000190936032315+0j),(-0.8964521400972714+0j),(1416.573006592051+0j),(-4.59938626201889+0j),(0.0006328315843413534+0j)
(-4.59938626201889+0j),(-0.8814703757843705+0j),(1416.1419521978871+0j),(-4.598763817090671+0j),(0.000622444928219501+0j)
(-4.598763817090671+0j),(-0.8667421626702261+0j),(1415.718035982168+0j),(-4.5981515891323905+0j),(0.0006122279582800871+0j)
(-4.5981515891323905+0j),(-0.8522631072424922+0j),(1415.3011392634262+0j),(-4.597549411204599+0j),(0.0006021779277913808+0j)
(-4.597549411204599+0j),(-0.8380288953855297+0j),(1414.8911453487938+0j),(-4.5969571190709315+0j),(0.0005922921336676268+0j)
(-4.5969571190709315+0j),(-0.8240352908438613+0j),(1414.4879395001908+0j),(-4.596374551155128+0j),(0.0005825679158038+0j)
(-4.596374551155128+0j),(-0.8102781337183651+0j),(1414.0914089010985+0j),(-4.595801548498709+0j),(0.0005730026564183532+0j)
(-4.595801548498709+0j),(-0.7967533389944386+0j),(1413.7014426239164+0j),(-4.595237954719307+0j),(0.0005635937794021828+0j)
(-4.595237954719307+0j),(-0.7834568951014365+0j),(1413.3179315978878+0j),(-4.594683615969628+0j),(0.0005543387496791397+0j)
(-4.594683615969628+0j),(-0.7703848625025891+0j),(1412.9407685775823+0j),(-4.594138380897051+0j),(0.0005452350725771993+0j)
(-4.594138380897051+0j),(-0.7575333723146418+0j),(1412.56984811193+0j),(-4.5936021006038485+0j),(0.0005362802932022959+0j)
(-4.5936021006038485+0j),(-0.7448986249566667+0j),(1412.205066513793+0j),(-4.593074628608018+0j),(0.0005274719958308083+0j)
(-4.593074628608018+0j),(-0.7324768888271078+0j),(1411.846321830064+0j),(-4.592555820804717+0j),(0.0005188078033011578+0j)
(-4.592555820804717+0j),(-0.7202644990086513+0j),(1411.493513812288+0j),(-4.592045535428298+0j),(0.0005102853764187287+0j)
(-4.592045535428298+0j),(-0.7082578560001263+0j),(1411.1465438877929+0j),(-4.591543633014925+0j),(0.0005019024133732231+0j)
(-4.591543633014925+0j),(-0.6964534244747509+0j),(1410.805315131316+0j),(-4.591049976365772+0j),(0.000493656649152463+0j)
(-4.591049976365772+0j),(-0.6848477320643525+0j),(1410.4697322371314+0j),(-4.590564430510791+0j),(0.00048554585498106206+0j)
(-4.590564430510791+0j),(-0.6734373681685906+0j),(1410.1397014916492+0j),(-4.59008686267304+0j),(0.0004775678377511028+0j)
(-4.59008686267304+0j),(-0.662218982788989+0j),(1409.8151307464996+0j),(-4.589617142233568+0j),(0.0004697204394723542+0j)
(-4.589617142233568+0j),(-0.6511892853869314+0j),(1409.4959293920735+0j),(-4.5891551406968425+0j),(0.000462001536725154+0j)
(-4.5891551406968425+0j),(-0.6403450437651639+0j),(1409.182008331527+0j),(-4.588700731656719+0j),(0.0004544090401230605+0j)
(-4.588700731656719+0j),(-0.6296830829722904+0j),(1408.87327995523+0j),(-4.588253790762935+0j),(0.0004469408937843866+0j)
(-4.588253790762935+0j),(-0.6192002842296269+0j),(1408.569658115658+0j),(-4.587814195688129+0j),(0.00043959507480639815+0j)
(-4.587814195688129+0j),(-0.6088935838800993+0j),(1408.2710581027181+0j),(-4.587381826095374+0j),(0.0004323695927546112+0j)
(-4.587381826095374+0j),(-0.5987599723584347+0j),(1407.9773966194966+0j),(-4.58695656360622+0j),(0.0004252624891538659+0j)
(-4.58695656360622+0j),(-0.5887964931823724+0j),(1407.6885917584268+0j),(-4.586538291769232+0j),(0.0004182718369882821+0j)
(-4.586538291769232+0j),(-0.5790002419643143+0j),(1407.4045629778686+0j),(-4.58612689602902+0j),(0.00041139574021187286+0j)
(-4.58612689602902+0j),(-0.5693683654429305+0j),(1407.1252310790853+0j),(-4.585722263695758+0j),(0.0004046323332618229+0j)
(-4.585722263695758+0j),(-0.5598980605343498+0j),(1406.8505181836224+0j),(-4.585324283915179+0j),(0.00039797978057887207+0j)
(-4.585324283915179+0j),(-0.5505865734024904+0j),(1406.580347711071+0j),(-4.584932847639037+0j),(0.0003914362761419099+0j)
(-4.584932847639037+0j),(-0.5414311985479647+0j),(1406.314644357214+0j),(-4.584547847596038+0j),(0.00038500004299901747+0j)
(-4.584547847596038+0j),(-0.5324292779153657+0j),(1406.0533340725483+0j),(-4.584169178263224+0j),(0.00037866933281449633+0j)
(-4.584169178263224+0j),(-0.5235782000183125+0j),(1405.7963440411738+0j),(-4.583796735837806+0j),(0.0003724424254176739+0j)
(-4.583796735837806+0j),(-0.514875399081989+0j),(1405.543602660044+0j),(-4.5834304182094465+0j),(0.0003663176283597025+0j)
(-4.5834304182094465+0j),(-0.5063183542027647+0j),(1405.2950395185728+0j),(-4.583070124932971+0j),(0.0003602932764756872+0j)
(-4.583070124932971+0j),(-0.49790458852451347+0j),(1405.0505853785924+0j),(-4.5827157572015125+0j),(0.0003543677314583604+0j)
(-4.5827157572015125+0j),(-0.48963166843119943+0j),(1404.8101721546489+0j),(-4.582367217820081+0j),(0.0003485393814317561+0j)
(-4.582367217820081+0j),(-0.4814972027554736+0j),(1404.5737328946389+0j),(-4.582024411179547+0j),(0.00034280664053376597+0j)
(-4.582024411179547+0j),(-0.4734988420029054+0j),(1404.3412017607764+0j),(-4.581687243231039+0j),(0.00033716794850757736+0j)
(-4.581687243231039+0j),(-0.4656342775914293+0j),(1404.1125140108827+0j),(-4.581355621460743+0j),(0.00033162177029666395+0j)
(-4.581355621460743+0j),(-0.4579012411057348+0j),(1403.8876059799982+0j),(-4.581029454865101+0j),(0.0003261665956415527+0j)
(-4.581029454865101+0j),(-0.450297503566397+0j),(1403.666415062307+0j),(-4.580708653926406+0j),(0.0003208009386952426+0j)
(-4.580708653926406+0j),(-0.44282087471310505+0j),(1403.4488796933674+0j),(-4.580393130588776+0j),(0.0003155233376297417+0j)
(-4.580393130588776+0j),(-0.43546920230205166+0j),(1403.234939332651+0j),(-4.580082798234517+0j),(0.00031033235425947936+0j)
(-4.580082798234517+0j),(-0.4282403714169083+0j),(1403.0245344463724+0j),(-4.579777571660852+0j),(0.0003052265736647186+0j)
(-4.579777571660852+0j),(-0.4211323037932355+0j),(1402.8176064906147+0j),(-4.579477367057028+0j),(0.0003002046038238504+0j)
(-4.579477367057028+0j),(-0.4141429571559656+0j),(1402.6140978947435+0j),(-4.579182101981782+0j),(0.00029526507524568757+0j)
(-4.579182101981782+0j),(-0.40727032456980794+0j),(1402.4139520450997+0j),(-4.578891695341164+0j),(0.0002904066406186345+0j)
(-4.578891695341164+0j),(-0.40051243380202894+0j),(1402.2171132689718+0j),(-4.578606067366714+0j),(0.0002856279744500867+0j)
(-4.578606067366714+0j),(-0.39386734669772316+0j),(1402.0235268188403+0j),(-4.578325139593988+0j),(0.00028092777272537006+0j)
(-4.578325139593988+0j),(-0.38733315856694306+0j),(1401.8331388568881+0j),(-4.578048834841425+0j),(0.0002763047525631279+0j)
(-4.578048834841425+0j),(-0.3809079975836831+0j),(1401.6458964397762+0j),(-4.577777077189546+0j),(0.00027175765187958945+0j)
(-4.577777077189546+0j),(-0.3745900241963449+0j),(1401.461747503676+0j),(-4.577509791960488+0j),(0.00026728522905727914+0j)
(-4.577509791960488+0j),(-0.36837743054950667+0j),(1401.280640849555+0j),(-4.577246905697872+0j),(0.0002628862626163908+0j)
(-4.577246905697872+0j),(-0.3622684399167466+0j),(1401.1025261287164+0j),(-4.576988346146975+0j),(0.0002585595508968197+0j)
(-4.576988346146975+0j),(-0.3562613061442377+0j),(1400.9273538285765+0j),(-4.576734042235234+0j),(0.0002543039117410828+0j)
(-4.576734042235234+0j),(-0.35035431310492093+0j),(1400.755075258689+0j),(-4.576483924053052+0j),(0.00025011818218168+0j)
(-4.576483924053052+0j),(-0.34454577416306975+0j),(1400.5856425370027+0j),(-4.5762379228349195+0j),(0.0002460012181328963+0j)
(-4.5762379228349195+0j),(-0.33883403164904835+0j),(1400.4190085763541+0j),(-4.575995970940826+0j),(0.0002419518940932619+0j)
(-4.575995970940826+0j),(-0.333217456343903+0j),(1400.2551270711879+0j),(-4.575758001837981+0j),(0.0002379691028453479+0j)
(-4.575758001837981+0j),(-0.3276944469737433+0j),(1400.0939524844982+0j),(-4.575523950082816+0j),(0.00023405175516444388+0j)
(-4.575523950082816+0j),(-0.32226342971363353+0j),(1399.935440034998+0j),(-4.575293751303288+0j),(0.0002301987795281235+0j)
(-4.575293751303288+0j),(-0.3169228577008769+0j),(1399.7795456844976+0j),(-4.575067342181454+0j),(0.00022640912183469197+0j)
(-4.575067342181454+0j),(-0.31167121055738156+0j),(1399.6262261255038+0j),(-4.5748446604363275+0j),(0.0002226817451260743+0j)
(-4.5748446604363275+0j),(-0.30650699392095015+0j),(1399.47543876902+0j),(-4.574625644807021+0j),(0.00021901562930626284+0j)
(-4.574625644807021+0j),(-0.30142873898548084+0j),(1399.3271417325611+0j),(-4.574410235036142+0j),(0.00021540977087930457+0j)
(-4.574410235036142+0j),(-0.2964350020495716+0j),(1399.1812938283633+0j),(-4.574198371853467+0j),(0.00021186318267485404+0j)
(-4.574198371853467+0j),(-0.29152436407373394+0j),(1399.0378545517976+0j),(-4.573989996959875+0j),(0.00020837489359237793+0j)
(-4.573989996959875+0j),(-0.2866954302457074+0j),(1398.8967840699765+0j),(-4.573785053011536+0j),(0.00020494394833914242+0j)
(-4.573785053011536+0j),(-0.28194682955392514+0j),(1398.7580432105524+0j),(-4.5735834836043585+0j),(0.00020156940717708238+0j)
(-4.5735834836043585+0j),(-0.27727721436891395+0j),(1398.621593450706+0j),(-4.573385233258684+0j),(0.00019825034567411137+0j)
(-4.573385233258684+0j),(-0.27268526003238414+0j),(1398.48739690632+0j),(-4.573190247404228+0j),(0.00019498585445631988+0j)
(-4.573190247404228+0j),(-0.26816966445397483+0j),(1398.3554163213341+0j),(-4.572998472365262+0j),(0.0001917750389663908+0j)
(-4.572998472365262+0j),(-0.26372914771544353+0j),(1398.2256150572796+0j),(-4.572809855346037+0j),(0.00018861701922467944+0j)
(-4.572809855346037+0j),(-0.259362451682144+0j),(1398.097957082991+0j),(-4.572624344416443+0j),(0.00018551092959384619+0j)
(-4.572624344416443+0j),(-0.25506833962168374+0j),(1397.9724069644901+0j),(-4.572441888497893+0j),(0.00018245591855059473+0j)
(-4.572441888497893+0j),(-0.25084559582954413+0j),(1397.848929855039+0j),(-4.572262437349437+0j),(0.0001794511484556338+0j)
(-4.572262437349437+0j),(-0.24669302526160442+0j),(1397.7274914853617+0j),(-4.572085941554109+0j),(0.0001764957953280799+0j)
(-4.572085941554109+0j),(-0.2426094531734697+0j),(1397.6080581540314+0j),(-4.571912352505478+0j),(0.00017358904863051805+0j)
(-4.571912352505478+0j),(-0.2385937247662615+0j),(1397.4905967180157+0j),(-4.5717416223944305+0j),(0.0001707301110478454+0j)
(-4.5717416223944305+0j),(-0.23464470483899125+0j),(1397.375074583383+0j),(-4.5715737041961555+0j),(0.00016791819827499666+0j)
(-4.5715737041961555+0j),(-0.23076127744725095+0j),(1397.2614596961644+0j),(-4.571408551657347+0j),(0.000165152538808222+0j)
(-4.571408551657347+0j),(-0.22694234556809012+0j),(1397.1497205333699+0j),(-4.571246119283614+0j),(0.00016243237373370079+0j)
(-4.571246119283614+0j),(-0.22318683077110202+0j),(1397.039826094154+0j),(-4.571086362327081+0j),(0.00015975695653214217+0j)
(-4.571086362327081+0j),(-0.2194936728953112+0j),(1396.9317458911298+0j),(-4.570929236774211+0j),(0.00015712555287006325+0j)
(-4.570929236774211+0j),(-0.21586182973209866+0j),(1396.8254499418297+0j),(-4.5707746993338025+0j),(0.00015453744040883066+0j)
(-4.5707746993338025+0j),(-0.21229027671376377+0j),(1396.7209087603078+0j),(-4.570622707425196+0j),(0.00015199190860659684+0j)
(-4.570622707425196+0j),(-0.20877800660779489+0j),(1396.6180933488845+0j),(-4.570473219166665+0j),(0.0001494882585308943+0j)
(-4.570473219166665+0j),(-0.20532402921659743+0j),(1396.516975190029+0j),(-4.570326193363997+0j),(0.0001470258026676774+0j)
(-4.570326193363997+0j),(-0.2019273710827123+0j),(1396.417526238377+0j),(-4.570181589499259+0j),(0.0001446038647383574+0j)
(-4.570181589499259+0j),(-0.19858707519931107+0j),(1396.3197189128834+0j),(-4.570039367719741+0j),(0.00014222177951772608+0j)
(-4.570039367719741+0j),(-0.1953022007258962+0j),(1396.223526089105+0j),(-4.569899488827088+0j),(0.00013987889265365538+0j)
(-4.569899488827088+0j),(-0.19207182270916068+0j),(1396.1289210916145+0j),(-4.5697619142665955+0j),(0.00013757456049212635+0j)
(-4.5697619142665955+0j),(-0.1888950318088154+0j),(1396.0358776865392+0j),(-4.5696266061166915+0j),(0.00013530814990403428+0j)
(-4.5696266061166915+0j),(-0.18577093402834755+0j),(1395.9443700742256+0j),(-4.569493527078579+0j),(0.00013307903811288213+0j)
(-4.569493527078579+0j),(-0.18269865045063494+0j),(1395.8543728820262+0j),(-4.569362640466049+0j),(0.00013088661252957934+0j)
(-4.569362640466049+0j),(-0.1796773169782242+0j),(1395.7658611572087+0j),(-4.569233910195465+0j),(0.0001287302705836879+0j)
(-4.569233910195465+0j),(-0.17670608407834565+0j),(1395.6788103599815+0j),(-4.569107300775901+0j),(0.0001266094195644385+0j)
(-4.569107300775901+0j),(-0.17378411653239056+0j),(1395.593196356637+0j),(-4.568982777299442+0j),(0.0001245234764590819+0j)
(-4.568982777299442+0j),(-0.17091059318989377+0j),(1395.5089954128082+0j),(-4.568860305431649+0j),(0.000122471867793017+0j)
(-4.568860305431649+0j),(-0.16808470672696152+0j),(1395.4261841868417+0j),(-4.568739851402169+0j),(0.00012045402947968853+0j)
(-4.568739851402169+0j),(-0.16530566340887587+0j),(1395.3447397232767+0j),(-4.568621381995504+0j),(0.00011846940666515593+0j)
(-4.568621381995504+0j),(-0.16257268285699888+0j),(1395.2646394464348+0j),(-4.568504864541925+0j),(0.00011651745357887933+0j)
